country_name,year,GDP (Current USD),GDP per Capita (Current USD),GDP Growth (% Annual),Inflation (CPI %),Unemployment Rate (%),Gross National Income (USD),GDP (Billion USD),GNI (Billion USD)
"Egypt, Arab Rep.",2015,329366576819.407,3306.98159414141,4.37201907790141,10.370490343517,13.052,323665676819.407,329.366576819407,323.665676819407
"Egypt, Arab Rep.",2016,332441717791.411,3270.6287768197,4.34664345555447,13.813606214829,12.45,327970017791.411,332.441717791411,327.970017791411
"Egypt, Arab Rep.",2017,248362771739.13,2395.10333299491,4.18122099994778,29.5066083940039,11.767,243794271739.13,248.36277173913,243.79427173913
"Egypt, Arab Rep.",2018,262588632526.73,2484.70315630508,5.3311086189448,14.4014657807422,9.855,256309032526.73,262.58863252673,256.30903252673
"Egypt, Arab Rep.",2019,318678815489.749,2962.98892023003,5.55209307156956,9.15279959324804,7.851,307669215489.749,318.678815489749,307.66921548974904
"Egypt, Arab Rep.",2020,383817841547.099,3511.11381026379,3.55016483786838,5.04493288977539,7.974,372463841547.099,383.817841547099,372.463841547099
"Egypt, Arab Rep.",2021,424671765455.704,3827.35415374308,3.29064601202211,5.21404940513043,7.441,412272565455.704,424.67176545570396,412.27256545570395
"Egypt, Arab Rep.",2022,476747720364.742,4233.30783744856,6.58784560886967,13.8956609775178,7.344,460984520364.742,476.747720364742,460.984520364742
"Egypt, Arab Rep.",2023,396002496996.96,3457.45691570455,3.75870055176806,33.8847763115546,7.334,378684096996.935,396.00249699696,378.684096996935
"Egypt, Arab Rep.",2024,321485561561.3805,3117.882047028926,3.943559055222264,13.090440633996199,7.198,312883575847.093,321.4855615613805,312.883575847093
"Egypt, Arab Rep.",2025,321485561561.3805,3117.882047028926,3.943559055222264,13.090440633996199,10.1152,312883575847.093,321.4855615613805,312.883575847093
Jordan,2010,27133804225.3521,3718.46571622945,2.31483422063046,4.84551875852116,12.5,26919156338.0282,27.1338042253521,26.9191563380282
Jordan,2011,29524149154.9296,3946.85503855525,2.73717988632104,4.1624416292779,12.9,29259642112.6761,29.5241491549296,29.2596421126761
Jordan,2012,31634561690.1408,4169.50470054618,2.42935800100238,4.5152295667099,12.2,31246533521.1268,31.6345616901408,31.2465335211268
Jordan,2013,34454440140.8451,4311.21916713038,2.60994737548631,4.82462314269537,12.6,34115848591.5493,34.4544401408451,34.1158485915493
Jordan,2014,36847643521.1268,4191.18050084986,3.38407809933472,2.89947905006057,11.9,36430961830.9859,36.8476435211268,36.4309618309859
Jordan,2015,38587017887.3239,4042.75678097555,2.49652879315188,-0.876851359704049,13.075,38153862957.7465,38.587017887323896,38.1538629577465
Jordan,2016,39892551126.7606,3986.71677010853,1.9941808493012,-0.778430463054142,15.275,39586916901.4085,39.892551126760594,39.5869169014085
Jordan,2017,41608435915.493,4065.61628749384,2.47359815449045,3.32389447576097,18.12,41401816901.4085,41.608435915493,41.4018169014085
Jordan,2018,43370860704.2254,4145.43989673265,1.91907091341564,4.46231108475481,18.257,43171142394.3662,43.3708607042254,43.1711423943662
Jordan,2019,44503006338.0282,4170.1144003465,1.75124077866225,0.761514047265601,16.801,44510471126.7606,44.5030063380282,44.5104711267606
Jordan,2020,43700383098.5916,4022.0401356135,-1.10275188309046,0.333294350628378,19.213,43576298591.5493,43.7003830985916,43.5762985915493
Jordan,2021,46296100140.8451,4183.49998326866,3.65564191030398,1.34609377243118,19.837,46064410000.0,46.2961001408451,46.06441
Jordan,2022,48764963380.2817,4332.25159897931,2.64743616429071,4.22915568897117,18.2,48259188732.3944,48.7649633802817,48.2591887323944
Jordan,2023,50967475352.1127,4455.50540514568,2.67827153754409,2.08486986327134,17.969,50463109154.9296,50.9674753521127,50.463109154929604
Jordan,2024,39806099476.86119,4124.369027283952,2.284901057203189,2.5809388291135824,17.996,39511382796.78071,39.80609947686119,39.51138279678071
Jordan,2025,39806099476.86119,4124.369027283952,2.284901057203189,2.5809388291135824,15.789533333333335,39511382796.78071,39.80609947686119,39.51138279678071
Morocco,2010,100865329473.44,3067.9853515625,3.49955709403216,0.993557401226392,9.09,99581285619.2078,100.86532947344,99.58128561920779
Morocco,2011,110080631332.375,3301.98876953125,5.52464523319847,0.9069249096918,8.91,108370716160.633,110.080631332375,108.370716160633
Morocco,2012,106937392311.129,3164.17724609375,3.06234368502997,1.28712240079219,8.99,104953373174.425,106.937392311129,104.953373174425
Morocco,2013,115739287305.08,3379.7431640625,4.12221286860944,1.88065466724086,9.23,114282741689.255,115.73928730508,114.282741689255
Morocco,2014,119130841411.664,3435.40698242188,2.7192440802029,0.442310053557048,9.7,116737884764.791,119.13084141166401,116.737884764791
Morocco,2015,110413823841.592,3146.24780273438,4.34458297635238,1.5579071134626,9.46,108703008127.117,110.41382384159199,108.703008127117
Morocco,2016,111572947004.917,3140.85546875,0.52118550608968,1.63531114327064,9.3,110026167792.814,111.57294700491701,110.026167792814
Morocco,2017,118540573367.844,3296.52661132813,5.05789816173446,0.754663249323619,9.223,116714427716.555,118.54057336784399,116.714427716555
Morocco,2018,127341147581.818,3501.69799804688,3.06564133025955,1.80391671141896,9.271,125425336311.069,127.34114758181799,125.425336311069
Morocco,2019,128920266409.458,3508.09765625,2.89097476137077,0.303386036590383,9.194,126978615953.539,128.92026640945798,126.978615953539
Morocco,2020,121353645057.144,3268.0302734375,-7.17820744246774,0.705968661338261,11.223,120193575825.745,121.35364505714399,120.193575825745
Morocco,2021,142022058447.231,3785.93627929688,8.15473889823681,1.40195883962006,10.576,140063329923.044,142.022058447231,140.063329923044
Morocco,2022,130951926351.241,3455.39624023438,1.52720357976111,6.65704202759067,9.494,129037582204.306,130.95192635124099,129.037582204306
Morocco,2023,144417103249.646,3771.4462890625,3.40334130078834,6.09114152504141,9.044,142354111742.215,144.417103249646,142.354111742215
Morocco,2024,120591926653.18422,3373.1097237723234,2.9082401452284503,0.985256592004507,8.943,118815868357.4797,120.59192665318422,118.8158683574797
Morocco,2025,120591926653.18422,3373.1097237723234,2.9082401452284503,1.8271414221446265,9.443200000000001,118815868357.4797,120.59192665318422,118.8158683574797
Saudi Arabia,2010,528207200000.0,22028.3790215788,5.03949284261405,5.33941680637454,5.55,542914944400.0,528.2072,542.9149444
Saudi Arabia,2011,676634666666.667,26966.2941648251,10.9937616764876,5.82621608838862,5.77,692763354533.333,676.634666666667,692.763354533333
Saudi Arabia,2012,741849866666.667,28348.5730107499,5.40891607761418,2.86626887489915,5.622,761738805173.333,741.849866666667,761.738805173333
Saudi Arabia,2013,753864533333.333,27290.1978052614,2.53477827137303,3.53252470694918,5.6,775051883546.667,753.864533333333,775.051883546667
Saudi Arabia,2014,766605866666.667,27079.6733871148,3.81142279142699,2.23629031536978,5.877,789633446080.0,766.605866666667,789.63344608
Saudi Arabia,2015,669484266666.667,22453.571552265,4.5090590631757,1.20607322150109,5.6,690847754533.333,669.4842666666669,690.847754533333
Saudi Arabia,2016,666000000000.0,21515.6600083775,1.88449273567737,2.06884036053473,5.6,681352861413.333,666.0,681.352861413333
Saudi Arabia,2017,714994666666.667,23081.2045336558,0.911048655580274,-0.838194579675018,5.89,726876989173.333,714.994666666667,726.876989173333
Saudi Arabia,2018,846583733333.333,28036.0264674095,3.19922678028009,2.45814158007532,6.029,854758208400.0,846.583733333333,854.7582084
Saudi Arabia,2019,838564800000.0,27892.8421521179,1.09773374954092,-2.09333333333329,5.636,846719422506.667,838.5648,846.719422506667
Saudi Arabia,2020,734271200000.0,23271.4037647084,-3.58153486307663,3.44545825956692,7.66,745486551306.667,734.2712,745.486551306667
Saudi Arabia,2021,874156000000.0,28396.0864182336,5.07511034987979,3.06328988941547,6.621,887051480960.0,874.156,887.05148096
Saudi Arabia,2022,1108571466666.67,34454.1957708412,7.48598429134137,2.4740737192537,5.589,1118179993493.33,1108.57146666667,1118.1799934933301
Saudi Arabia,2023,1067582933333.33,32093.9622984711,-0.754914810584665,2.32708518362692,4.008,1073418445360.0,1067.58293333333,1073.41844536
Saudi Arabia,2024,784812228571.4286,26636.29073968643,3.4010412579521474,1.68792112375817,3.896,799056724348.5712,784.8122285714286,799.0567243485712
Saudi Arabia,2025,784812228571.4286,26636.29073968643,3.4010412579521474,2.3733381477803523,5.663200000000001,799056724348.5712,784.8122285714286,799.0567243485712
Tunisia,2010,46206091937.9628,4291.86120891575,2.97113275066512,3.33897963601069,13.049,44139124353.7795,46.206091937962796,44.1391243537795
Tunisia,2011,48123325825.0739,4420.64772206537,-2.04663389535644,3.24002842009531,18.334,45963001044.9054,48.1233258250739,45.963001044905404
Tunisia,2012,47311401812.6733,4297.26782454273,4.21667711535632,4.6118443220664,17.63,45406928007.8264,47.3114018126733,45.4069280078264
Tunisia,2013,48685446413.953,4369.79345826358,2.42993096446429,5.31623531326689,15.934,46623799470.4116,48.685446413953,46.6237994704116
Tunisia,2014,50271812920.612,4458.97895464547,3.09032803070775,4.62555099534031,14.259,48568157921.8637,50.271812920612,48.5681579218637
Tunisia,2015,45779494041.9295,4014.94773686432,0.967703108220121,4.437371273215,15.159,44599350028.6752,45.779494041929496,44.599350028675204
Tunisia,2016,44360072680.4476,3847.80354448809,1.11742594891074,3.62939937384381,15.557,43403523130.2312,44.3600726804476,43.4035231302312
Tunisia,2017,42163530590.9462,3619.03247319953,2.23783867965943,5.30884839565844,15.33,41171063372.4955,42.163530590946195,41.171063372495496
Tunisia,2018,42686504459.801,3628.10366464236,2.62493010870395,7.30759176031652,15.459,41650260477.7648,42.686504459801,41.6502604777648
Tunisia,2019,41905642418.825,3528.87213306798,1.58784665466504,6.72007532863799,17.153,40813336000.5153,41.905642418824996,40.8133360005153
Tunisia,2020,42491780918.361,3548.65363663803,-9.01193412390238,5.63415115897625,17.656,41095052621.3235,42.491780918361,41.095052621323504
Tunisia,2021,46812290143.344,3885.28166485296,4.7363207484732,5.706350208307,16.611,45582180787.9642,46.812290143344,45.582180787964205
Tunisia,2022,44579761022.8993,3678.40023411347,2.67331821840567,8.30646124447623,15.3,43606718412.8313,44.5797610228993,43.6067184128313
Tunisia,2023,48529595416.6533,3977.69516639644,0.0391565674939329,9.32899597507865,15.106,47219686954.8424,48.5295954166533,47.2196869548424
Tunisia,2024,45707625043.10585,3969.09567304972,1.259574348319053,7.20661657168794,16.203,44274441613.245,45.70762504310585,44.274441613245
Tunisia,2025,45707625043.10585,3969.09567304972,1.259574348319053,5.647899998465162,15.915999999999999,44274441613.245,45.70762504310585,44.274441613245
